ORQ1,GEQ1,GEQ2,ORQ2,ORQ3,GEQ3,GEQ4,ORQ4,ORQ5,GEQ5,GEQ6,ORQ6,ORQ7,GEQ7,GEQ8,ORQ8,ORQ9,GEQ9,GEQ10,ORQ10,ORQ11,GEQ11,GEQ12,ORQ12,ORQ13,GEQ13,GEQ14,ORQ14,ORQ15,GEQ15,GEQ16,ORQ16,ORQ17,GEQ17,GEQ18,ORQ18,ORQ19,GEQ19,GEQ20,ORQ20,OPQ1,OPQ2,OPQ3,OPQ4,OPQ5,OPQ6,OPQ7,OPQ8,OPQ9,OPQ10,OPQ11,OPQ12,OPQ13,OPQ14,OPQ15
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,provide feedback to students in less time,Cultural understanding.,Connecting with native speakers.,The technology.,150,Australians are considered to be the most patriotic in the world.,Its multicultural culture.,He is strongly against it.,This question is unanswerable.,It was difficult for them to find the right car parking spaces.,It was too big.,This question is unanswerable.,She was warned about the risk of using Facebook.,There were more local guides on the Chinese side.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Too much hair washing.,Changing his genes.,Planets can have their surface water locked away as ice.,Water will exist underground as long as the planet is not too hot or too cold.,Light.,The water does not move anymore.,Games.,Because they can earn much money.,Milk.,Drink,Maths.,Because he thought maths was interesting.,August 5th.,A book.,He stopped people from talking.,He made a phone call.,He went to the cinema by himself.,His background.,Extremely easy,Sometimes,Most of the time,Sometimes,Sometimes,Hindrance / It slowed me down,"Specific questions, answer not that hard to find, clear paragraphs","Not always representative answer options, ",Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"It takes work of the hands of teachers, hence they could give more attention to students",No,No
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The teachers will be replaced by robots.,somewhat interact with the students,Cultural understanding.,Learning a new language.,The measurements.,75,This question is unanswerable.,Its beautiful beaches.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Too much hair washing.,This question is unanswerable.,Planets can have their surface water locked away as ice.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,Because he explained numbers clearly.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,Most of the time,Sometimes,Never,About half the time,Disruptive / I got very confused,"Fast, reliable and creative","Not understandable, incorrect with text and too easy",Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Teacher shortage, more efficient and extra home schooling device","No filter, so mean or racist consequences could happen",
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Daintree Rainforest,You can visit the Daintree Rainforest and the Great Barrier Reef.,The teachers will be replaced by robots.,make different facial expressions,A language learning environment.,Connecting with native speakers.,The educational work.,150,The majority of Australians are fascinated with sports and art.,Its comfortable environment.,He has serious doubts about it.,This question is unanswerable.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,About 83% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Poor nutrition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,Most of the time,Sometimes,Sometimes,Sometimes,Not bothered / Also human tests have imperfect quizzes,"Often realistic, similar too human quizes, double anwsers","Strange wording, unclear, interpretation sometimes used",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Time saving for teachers, money saving, modern way of education",Human relationship with teacher is missed. Parents will not like that.,No
Because her mother died quite early.,Nervous.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,provide feedback to students in less time,A language learning environment.,Connecting with native speakers.,The measurements.,75,Melbourne is the most culturally diverse city in the world.,Its strong sense of belonging.,He has serious doubts about it.,Global temperatures affect the rate of economic development.,It was difficult for them to find the right car parking spaces.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,A medical condition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,This question is unanswerable.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Sometimes,About half the time,Neutral / I just picked the best answer,"Ease, uniqueness, bias","Not thought over, sometimes does not make sense.",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"It could be helpful for memorization, it could help gain insight from other perspectives, more time on more personal education",Maybe,Was not prepared to read many texts
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The teachers will be replaced by robots.,somewhat interact with the students,This question is unanswerable.,Connecting with native speakers.,The educational work.,150,The Australian government tries to make immigrants feel at home.,Its beautiful beaches.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,This question is unanswerable.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Poor nutrition.,Going to see a doctor.,This question is unanswerable.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,About half the time,About half the time,Sometimes,About half the time,Hindrance / It slowed me down,"No spelling mistakes, Logical answering options, No clear wrong answers (similarity in answers is good)","All answers not really answering the question, Questions focusing on one line of text, Weird questions (e.g. about writer's feelings) ",Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"It's performance will only improve and since education is one of the most important pillars of society, it should be one of most important areas to apply AI in (together with healthcare).","As long as all data is anonymized (very important!), I do not see any risks or barriers to succesful deployment of AI in education.","Very impressive results overall! If anything, I would add that it would be important to be careful to release questions/answers that are not entirely clear to struggling students, as this might hinder their learning/learning experience. The level is already incredibly impressive, but I do think the difference between human-level and AI is still noticeable, so maybe the current results still require a human-in-the-loop approach where a human monitors (some of) the AI generated questions/answers."
Because her family was very poor.,Excited.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,provide feedback to students in less time,A language learning environment.,Connecting with native speakers.,The early-warning system.,This question is unanswerable.,Australians are considered to be the most patriotic in the world.,Its comfortable environment.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,Going to see a doctor.,Planets can have their surface water locked away as ice.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,Sometimes,Sometimes,Sometimes,Never,Not bothered / Also human tests have imperfect quizzes,"Less time needed for human interference, AI can be self-learning and adaptability ","Expensive, human error is able to hinder the process of AI and AI isn't fully capable of understanding the human learning process yet!",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,"Less time needed for human interference, AI can be adaptable and it could be an investment in the future",Certain subjects that are more sensitive to certain humans could be hard to be recognized by AI,No
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He was helping the police hand out the photos of the missing girl.,Byron Bay and Sydney,This question is unanswerable.,The future is uncertain.,provide feedback to students in less time,Hard work and practice.,Providing feedback on friends' exercises.,The measurements.,75,Australians are considered to be the most patriotic in the world.,Its comfortable environment.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,It was difficult for them to find the right car parking spaces.,This question is unanswerable.,About 83% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Poor nutrition.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,It must receive two sources of heat--heat direct from the star and heat generated deep inside the planet.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,Because he made him feel at home.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Never,Sometimes,Neutral / I just picked the best answer,"Fast, diverse, cheap","Incorrect question/answer, style, no personal feedback",Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"Faster generated, cheaper, broader audience",Yes. Everyone could have a different opinion about the correctness of such an AI powered education algorithm ,
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,This question is unanswerable.,provide feedback to students in less time,A language learning environment.,Connecting with native speakers.,The educational work.,150,The Australian government tries to make immigrants feel at home.,Its comfortable environment.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,This question is unanswerable.,About 83% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To make a necklace with a piece of rock from the top of the world.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Never,Never,Neutral / I just picked the best answer,"Made sense, were relevant and were simple",Questions sometimes not with straightforward answers,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Teachers can spend more time focusing on teaching rather than creating tests. Students can test themselves more frequently. Knowledge can be measured more easily.,Non very significant,
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,This question is unanswerable.,The teachers will be replaced by robots.,This question is unanswerable.,A language learning environment.,Connecting with native speakers.,The technology.,50,Melbourne is the most culturally diverse city in the world.,This question is unanswerable.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,This question is unanswerable.,About 83% of them.,Spending much time on Facebook affected her study,This question is unanswerable.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,Eating more vegetables.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,Because he made him feel at home.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Never,Never,Neutral / I just picked the best answer,/,/,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,/,/,/
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,A language learning environment.,Learning a new language.,The educational work.,This question is unanswerable.,The majority of Australians are fascinated with sports and art.,This question is unanswerable.,He is strongly against it.,This question is unanswerable.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,This question is unanswerable.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,Poor nutrition.,This question is unanswerable.,This question is unanswerable.,This question is unanswerable.,Air movements in the earth's atmosphere.,This question is unanswerable.,A book.,Because it is a way to relax themselves.,This question is unanswerable.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,Sometimes,Most of the time,Most of the time,Sometimes,Neutral / I just picked the best answer,-,-,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,-,-,-
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,somewhat interact with the students,A language learning environment.,Connecting with native speakers.,The technology.,75,The Australian government tries to make immigrants feel at home.,This question is unanswerable.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They were not familiar with the new systems in the building.,It was not well equipped.,This question is unanswerable.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To make a necklace with a piece of rock from the top of the world.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Never,Always,Neutral / I just picked the best answer,"It's quicker, efficient and easily accessible for many","Sentence structure can be disrupted sometimes, less emotional texts, and sometimes the texts can seem like a sumup",Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,"It's cost efficient, less pressure on teachers, easily accessible for many people","If there is a mistake in the text, someone cannot be deemed responsible. Additionally, the quality of some texts were poor so there should be more incentives to better the quality of AI-text making",
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The teachers will be replaced by robots.,provide feedback to students in less time,Cultural understanding.,Connecting with native speakers.,The technology.,150,The majority of Australians are fascinated with sports and art.,This question is unanswerable.,He has serious doubts about it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To pick a small piece of rock from the top of the world and wear it in a necklace.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,Water will exist underground as long as the planet is not too hot or too cold.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Somewhat easy,Most of the time,Sometimes,Never,Never,Not bothered / Also human tests have imperfect quizzes,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,
Because her family was very poor.,This question is unanswerable.,She disappeared when she was getting her bike.,He and his friends were helping his neighbor moving a couch.,Byron Bay and Sydney,You can visit the Daintree Rainforest and the Great Barrier Reef.,The future is uncertain.,somewhat interact with the students,Modern mobile technology.,Connecting with native speakers.,The educational work.,75,The majority of Australians are fascinated with sports and art.,This question is unanswerable.,He is strongly against it.,Rates of death from illnesses have risen due to global warming.,They had to wait a long time and play catch-up when checking in.,It was not well equipped.,About 65% of them.,Spending much time on Facebook affected her study,China allows climbers of any age to climb Mt. Everest.,To make a necklace with a piece of rock from the top of the world.,This question is unanswerable.,Going to see a doctor.,Planets can receive heat generated deep inside the planet.,This question is unanswerable.,Air movements in the earth's atmosphere.,The rock becomes unclear.,A book.,Because it is a way to relax themselves.,Tea.,Milk,Maths.,This question is unanswerable.,August 5th.,A bike.,He helped the traffic police at a crossroad.,He did community work.,He took drugs with some friends.,The film You Are the Apple of My Eye.,Neither easy nor difficult,About half the time,Most of the time,Sometimes,Sometimes,Neutral / I just picked the best answer,"Testing whether one read the text, less (human) time to make, ... ","Repeating answers, unanswerable questions, often answers pretty straightforward. ",Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Focussing more on educating and less on making tests; good for checking if someone read the text; could be very useful in grading tests as well, again shifting the focus of educators on teaching rather than testing.   ","No, as long as questions are well constructed and answers matched with high confidence",Better interpretation of text rather than reformulating sentences in question and answer
